Model,Univariate,Multivariate,Probabilistic,Multiple-series training,Past-observed covariates support,Future-known covariates support,Neural Net,Reference
NaiveMean,True,False,False,False,False,False,False,
NaiveDrift,True,False,False,False,False,False,False,
NaiveSeasonal,True,False,False,False,False,False,False,
LinearRegressionModel,True,True,False,True,True,True,False,
RegressionModel,True,True,False,True,True,True,False,
ExponentialSmoothing,True,False,True,False,False,False,False,
ARIMA,True,False,True,False,False,True,False,
VARIMA,False,True,False,False,False,True,False,
AutoARIMA,True,False,False,False,False,True,False,
RandomForest,True,True,False,True,True,True,False,
LightGBMModel,True,True,False,True,True,True,False,
RNNModel,True,True,True,True,False,True,True,DeepAR paper (incl. LSTM and GRU)
BlockRNNModel,True,True,True,True,True,False,True,(incl. LSTM and GRU)
NBEATSModel,True,True,True,True,True,False,True,N-BEATS paper
TCNModel,True,True,True,True,True,False,True,"TCN paper, DeepTCN paper, blog post"
TransformerModel,True,True,True,True,True,False,True,
TFTModel,True,True,True,True,True,True,True,"TFT paper, PyTorch Forecasting" (Temporal Fusion Transformer)
Theta,True,False,False,False,False,False,False,Theta & 4 Theta
FourTheta,True,False,False,False,False,False,False,Theta & 4 Theta
FFT,True,False,False,False,False,False,False,Fast Fourier Transform
KalmanForecaster,True,True,True,False,False,True,False,N4SID paper (using the Kalman filter and N4SID for system identification)